nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm3557175	Christopher Giamo	\N	\N	director,editor,cinematographer	tt3779288,tt3810554,tt4085472,tt5847660
nm12206290	Beresford Girl's Choir	\N	\N	\N	tt0424586
nm3576496	Knut Fleischmann	\N	\N	director	tt12731372,tt11252198,tt15128482,tt2049118
nm8671921	Maurizio Montecchiesi	\N	\N	actor	tt3791856
nm3067844	Shashi Govind Kasare	\N	\N	sound_department	tt21916016,tt0412308,tt3111492,tt6099494
nm15739194	Solène Le Pavec	\N	\N	actress	\N
nm11343248	Jove Angeleski	\N	\N	cinematographer	tt11768024
nm4106828	Patrick Healy	\N	\N	miscellaneous	tt1736024
nm14858636	Dave Vieira	\N	\N	art_department	tt27557077,tt15304502
nm7978206	Ceara Holloway	\N	\N	miscellaneous	tt5524830
nm8610239	Monika Smith	\N	\N	miscellaneous	tt3850590
nm4456537	Emma Witter	\N	\N	costume_designer,actress,art_department	tt2262129,tt2845920,tt1974389,tt2078580
nm15857714	Callie P Roberts	\N	\N	actress	tt31455801
nm6674017	Sarah Assumma	2004	\N	actress	tt3274690,tt1586680,tt11927670
nm7645668	Emma Hand	\N	\N	miscellaneous	tt6111634,tt4888842
nm6771293	Aidan Asbury	\N	\N	actor	tt2402985
nm16378378	Maddie Harris	\N	\N	production_manager	tt33038316
nm13162022	Matija Domitrovic	\N	\N	camera_department	tt1649418,tt27534307,tt20048582,tt1492179
nm9652253	Shelley Dunlop	\N	\N	actress	tt9828796,tt6675568
nm8453790	Erika Citrin	\N	\N	actress	tt6079714
nm3134382	Jörg Müller	\N	\N	actor	tt0806910
nm0993798	Arturo Ortiz	\N	\N	art_department	tt0286282
nm10758294	Kristyna Rasova	\N	\N	actress	tt11117510,tt7678042
nm16245102	Nathan Hooper	\N	\N	actor	tt32574703
nm14815066	Mike Bell	\N	\N	\N	tt0072584
nm16424374	Naoko Taguchi	\N	\N	actress	tt17056678
nm1036567	Ida Holmberg	\N	\N	actress	tt0293667
nm3895176	Jesus Cameron	\N	\N	actor,production_designer	tt1858739,tt5450338
nm11223674	Kenneth Mann	\N	\N	\N	tt1888331
nm3596711	Scott Salter	\N	\N	miscellaneous	tt0434124
nm14580050	Sara El Shikh	\N	\N	actress	tt26761083
nm13437047	Carlos Uribe	\N	\N	actor	tt18339060
nm4482840	Huriye Günerli	\N	\N	actress	tt0398716
nm2347502	Dana Zauner	\N	\N	miscellaneous	tt0788072
nm1094450	Steve Bennett	\N	\N	camera_department,cinematographer	tt31912464,tt1283570,tt0296749,tt27044028
nm13746120	DaniëSpreutels	\N	\N	\N	tt19889100
nm8377208	Temba Jauch	\N	\N	art_department	tt2287626
nm5561374	Alejandro Díaz	\N	\N	actor	tt2759376
nm3160767	Minoru Yamamoto	\N	\N	actor	tt0902982
nm0887664	Mort Van Ostrand	\N	\N	actor	tt0205284
nm10270040	Charles Brattan	\N	\N	actor	tt6599482
nm7632458	Natasha Cornecion	\N	\N	\N	\N
